year_only,H4,H5,H6,L5,L6
1723,0,0,0,1,0
1741,0,0,1,0,0
1753,0,1,0,0,0
1768,0,0,0,0,2
1773,1,0,0,0,0
1785,0,1,0,0,0
1787,0,0,0,0,1
1790,0,1,0,0,0
1796,0,0,1,0,0
1798,0,0,0,1,0
1801,0,0,0,0,1
1803,0,0,0,0,2
1804,0,1,0,0,2
1805,0,0,1,0,0
1807,0,1,0,0,0
1808,0,0,0,0,2
1809,0,0,1,0,0
1810,0,1,1,0,0
1811,0,0,0,0,2
1812,0,1,1,0,1
1813,0,1,0,0,0
1814,0,1,1,0,2
1815,0,0,0,0,1
1818,1,0,0,0,0
1819,0,0,0,1,0
1820,1,0,0,0,0
1822,0,1,1,0,1
1825,0,0,1,1,0
1826,0,0,1,0,1
1827,0,0,0,0,2
1829,0,0,0,0,3
1830,0,0,0,0,1
1833,0,0,1,0,0
1834,0,0,1,0,0
1836,0,1,0,0,1
1837,0,1,0,0,1
1838,1,1,0,1,1
1839,0,0,0,1,0
1840,0,1,0,0,0
1841,1,0,0,0,2
1842,0,0,0,0,2
1843,0,0,1,0,0
1844,0,2,1,0,0
1845,0,1,0,0,0
1846,0,0,1,1,1
1847,0,0,0,0,1
1848,0,0,0,1,2
1849,1,0,0,0,0
1850,1,0,0,0,0
1851,0,0,1,0,1
1852,0,0,0,1,0
1853,0,0,0,0,2
1854,0,0,0,0,1
1855,0,1,0,0,2
1856,0,1,0,0,0
1857,1,2,0,0,2
1858,0,1,0,1,1
1859,0,0,0,2,1
1860,0,2,0,0,3
1861,1,1,1,0,0
1862,1,0,0,0,0
1863,0,1,0,0,2
1864,0,0,0,0,2
1865,0,1,2,1,1
1866,0,3,1,0,0
1867,0,0,1,1,0
1868,1,2,1,0,3
1869,0,1,2,0,1
1871,0,2,0,0,0
1872,0,0,1,0,0
1873,0,0,0,1,1
1874,0,2,0,1,0
1875,1,2,0,1,0
1876,0,1,2,0,0
1877,0,1,1,0,1
1878,0,0,0,0,3
1879,0,2,0,0,3
1880,0,1,0,1,0
1881,0,0,0,0,3
1882,0,0,0,1,1
1883,0,0,0,0,2
1884,0,0,2,0,0
1885,0,0,0,0,1
1886,0,2,0,0,1
1887,3,0,1,0,1
1889,0,0,0,1,1
1890,0,3,1,1,0
1892,1,1,1,0,1
1893,0,1,0,0,2
1894,0,0,0,0,3
1895,0,1,0,1,0
1896,0,0,0,0,3
1897,0,2,1,1,2
1898,0,0,0,0,1
1899,0,2,1,0,0
1900,1,0,1,0,3
1901,0,1,0,1,1
1902,0,0,1,1,3
1903,0,1,0,1,2
1904,0,2,0,1,0
1905,0,0,0,0,2
1906,0,0,1,1,1
1907,0,1,0,1,0
1908,1,1,0,0,1
1909,0,0,0,0,2
1910,1,1,1,1,2
1911,0,1,0,0,1
1912,0,0,1,0,1
1913,0,1,0,1,0
1914,0,0,0,1,2
1915,0,1,0,0,0
1916,0,0,1,0,3
1917,1,0,0,0,6
1918,1,1,0,1,0
1919,0,1,0,0,1
1920,0,2,0,0,0
1921,0,1,0,0,1
1922,0,1,0,1,2
1923,1,1,0,0,2
1924,0,2,0,0,4
1925,1,0,1,1,1
1926,0,0,0,1,1
1927,0,1,0,0,2
1928,0,1,1,0,2
1929,0,2,0,1,2
1930,0,2,1,0,3
1932,0,0,2,0,2
1933,1,0,0,1,2
1934,2,0,2,1,0
1935,1,1,0,0,2
1936,1,0,1,0,0
1937,0,0,0,1,4
1938,0,2,1,0,3
1939,1,1,2,0,0
1940,0,0,0,0,1
1941,0,0,1,2,0
1942,2,0,0,0,2
1943,0,0,1,0,2
1944,0,0,0,0,1
1945,0,0,0,1,1
1946,0,1,0,0,1
1947,0,1,0,1,2
1948,0,1,0,0,0
1949,0,2,0,0,4
1950,1,2,1,1,1
1951,1,0,1,1,0
1952,1,0,0,0,0
1954,1,1,0,0,0
1955,0,0,0,1,1
1956,0,4,1,0,3
1957,1,1,0,0,0
1958,0,1,0,0,1
1959,0,1,0,0,2
1960,0,0,0,0,1
1961,0,1,1,1,1
1962,2,0,1,0,2
1963,0,0,0,1,2
1964,1,1,0,0,2
1965,1,0,0,2,0
1966,0,1,1,0,0
1967,0,0,1,0,2
1968,0,1,0,0,0
1969,0,0,1,0,1
1970,0,2,0,1,2
1971,3,2,0,0,0
1972,0,0,1,1,0
1973,0,0,3,0,0
1974,0,1,1,0,1
1975,0,0,1,0,1
1976,0,0,0,1,3
1977,0,4,0,1,1
1978,0,1,0,1,1
1979,0,0,0,1,1
1980,0,1,1,0,1
1981,0,0,1,0,2
1982,0,1,0,0,0
1983,0,0,1,1,1
1984,0,1,1,0,4
1985,0,0,0,0,1
1986,0,1,0,0,3
1987,0,1,0,0,0
1988,1,0,0,1,0
1989,0,0,1,1,2
1991,0,0,0,2,1
1992,0,0,1,0,1
1993,0,0,1,0,2
1994,0,1,0,1,2
1995,1,2,0,0,1
1996,0,1,0,0,0
1997,0,1,0,0,0
1998,1,2,1,0,2
1999,0,0,0,0,3
2000,0,1,0,0,0
2001,0,1,0,0,1
2002,0,0,0,0,2
2003,1,2,1,2,1
2006,0,1,0,1,0
2007,0,2,0,0,0
2008,1,1,0,1,2
2009,0,1,0,0,2
2010,0,3,0,1,1
2011,0,0,0,0,3
2012,0,0,0,0,1
